listing_id,id,date,reviewer_id,reviewer_name,comments
4583862,32641722,2015-05-19,7398191,Farah,"This is a great place to stay if you're looking to meet people. I checked in easily in the afternoon and was given a good tour of the house which is filled with beautiful furniture and decorations from all over the world. The most important part of a hostel, in my opinion, is the shared spaces, and Traveler's does a great job of keeping a clean, comfy, and always open living and kitchen space. I spent most of my time in those spaces! The staff is great and super helpful!"
4583862,36038273,2015-06-24,2382594,Katie,"I truely cant say enough positive things about Travellers House. The place is a haven. The neighborhood is wonderful, leafy and quiet but so close to amazing Mississippi Street which is full of great food trucks, shops and restaurants. The hosts are super friendly and accomodating and the place just has a really chilled, homely vibe and is SO clean. Its by far the nicest 'hostel' I've ever stayed in, I instantly felt at home here as did everyone else I spoke to and Tate, Ryan and Grant were just wonderful. "
4583862,38755681,2015-07-18,22235367,Rosemary,"Had such a lovely experience at this hostel. Welcoming people, rooms were comfortable (lots of outlets, private lights and fans if needed), bathrooms clean, kitchen well equipped. Met some great people. Excellent location - some of the coolest areas are 10 minutes walk away. Thanks for having me!"
4583862,40350294,2015-07-30,34369117,Elizabeth,Helpful and detailed initial tour of the premises. Friendly and accommodating. Very clean! Wonderfully environmentally conscious. Quite a selection of well-maintained bikes for rent.
4583862,41514656,2015-08-07,29969180,Brent,Great place great staff great location very clean all around one of the best hostels ive stayed at.
4583862,42912871,2015-08-16,34485841,Adam,"This was the best hostel experience I've ever had. Everyone was super welcoming and informative. If you want to augment your stay in Portland by being surrounded by awesome people, stay here."
4583862,49661703,2015-10-05,23253788,Lauren,"Wonderful location! Clean! Friendly staff!
I recommend this hostel, it's in a great location (right around the corner from several coffee places, a grocery store, bars, ahopping, and easy access to public transit. The atmosphere is very chill and comfortable. All employees were knowledgeable and willing to share about all the local spots. "
4583862,50805383,2015-10-14,5479393,Colleen,"I had a great stay at the Traveler's House! The bed was very comfortable, and the room had lockers to store valuables. This was a very special hostel inside a house, very unique vibe. The kitchen was incredible! The house had plenty of lounging area and even space to do yoga. The place was very clean, from the rooms to the bathrooms. I would recommend staying here. "
4583862,51773258,2015-10-24,42395583,Jordan,This was my first hostel experience and it was a great one. The house is beautiful and the people I met were very nice. I heard a lot of funny stories and there was a good bond between the people there. I had a good time in Portland because of the Traveler's House. 
4583862,68747440,2016-04-06,23112725,Courtney,"Travelers house was so wonderful! I stayed in the 4 person room. Within walking distance of so many great places, one of my favorite neighborhoods.  Everyone was very respectful of quiet times and met so many wonderfully sweet people! I will most definitely be booking here again for my next stay in Portland."
11987076,67116321,2016-03-26,64366756,Mandy,Carrie was incredibly flexible and helpful in suggesting a place to have breakfast the next day! Her place is very clean and comfortable as well. 
11987076,67362535,2016-03-28,58342578,Valerie,"Carrie was incredibly welcoming! She was there when we arrived and we enjoyed chatting with her for a fair bit. Her home is cozy, colorful, and super clean. She had warned us that her outdoor pet pig would get ""oinky"" in the morning but the bed we stayed in was so comfortable (and wonderful for my bad back!), we slept right through it and didn't hear a thing.

We would happily stay with Carrie again!"
11987076,68795410,2016-04-06,62711741,Alex,A really good experience. Carrie is super nice and helpful. She has an awesome pig in the back that's fun to hangout with. And she stays busy so there is good privacy
11987076,70513135,2016-04-18,65657454,Shane,My husband and I found Carrie's house to be extremely comfortable and cozy! We were able to find her house easily and had the pleasure of meeting Carrie one of the mornings we were there. Otherwise we pretty much had the place to ourselves (when not out and about taking in the sites of Portland!) Carrie's potbelly pig was fun to meet and I barely heard him oinking :) There are plenty of restaurants nearby and also within walking distance of the MAX and bus lines. Thanks Carrie!
11987076,70790207,2016-04-20,67390417,Joe,"Carrie was very accommodating. She provided a very warm environment for my stay. If ever back in town, I would try to airbnb.com with her again."
11987076,71222468,2016-04-24,15068980,Ben,"Carrie's place was cozy and homey, very clean, well decorated with modern furniture, and very comfortable.

Carrie was nice and considerate and we interacted a bit only as we were out and about mostly.  She stayed in her room when at home allowing us to use the living room.

The pig she mentioned is not even loud.  Barely an oink.

I enjoyed my stay here.  I would definitely  rent again if I rolled up to Portland again. 
"
11987076,74283990,2016-05-14,27479665,Sonia,"I was only able to stay for one night due to work related issues, but my friends stayed their for 2 nights and had positive things to say. Carrie's house was exactly as described, very clean and comfortable. 15min away from downtown Portland made it easy to get to. "
11987076,76125202,2016-05-25,47031985,Iris,"Wir erhielten von Carrie ein Blatt mit Tips&Tricks f√ºr die Wohnung und Portland.
Wir haben uns bei ihr sofort zuhause gef√ºhlt. Ihre Wohnung ist sehr sch√∂n eingerichtet, gem√ºtlich und gleichzeitig gro√ genug.
In der K√ºche durften wir alle Gegenst√§nde benutzen und konnten so selbst Essen zubereiten. Carrie ist super nett, hat uns immer geholfen und alle Fragen geduldig beantwortet und hat uns gleichzeitig viel Raum gelassen.

Das Schwein oinkt selten und wenn sehr leise, so dass es nicht st√∂rend war :-)

Mit dem Bus (Tagesticket 5$) ist man schnell in der Stadt. Auch Lebensmittelgesch√§fte sind zufu√ und mit dem Bus gut zu erreichen.

Die Nachbarschaft ist sehr h√ºbsch und alle Nachbarn freundlich."
11987076,77971983,2016-06-04,1103333,Elizabeth,"Great experience overall. Although we only met briefly, Carrie was a very accessible and friendly host. The room was as expected from the photos, and a perfectly cozy place to stay. We loved having access to the bathroom (a shower with great water pressure is really underrated) and kitchen. Plus the sweet pig to say hello to from the window! Friendly neighborhood, great host, comfortable space - can't go wrong with this one!"
11987076,78300861,2016-06-06,27550722,Caroline,"Carrie was easy to get ahold of and was flexible with our check in time. She wasn't home when we arrived but the house was clean, adorable, and very welcoming. It felt like Carrie went out of her way to make our stay comfortable while also respecting our privacy. "
11987076,78612048,2016-06-07,20901634,Kenny,"I loved the place. It's nice and quiet, comfy bed. I didn't hear the pig once. Was hoping to hear a few oinks though. Carrie wasn't home while I was but I ran into one night. Super nice. 10 and 14 bus  goes right to trendy SE and downtown Portland. Close to airport also. Will consider this for my next time in Portland. =)"
11987076,79746755,2016-06-14,74301530,Jurell,"Carrie's house is lovely! We had a comfortable stay there while we were getting settled in to our new home in Portland, and she was a very welcoming host. Her pig Remington is a fun character, and we could hardly hear him from the room we were staying in. Would definitely recommend to other travelers!"
11987076,81404368,2016-06-22,57941530,ALi,"Carrie was a great host.  Although we never met her, she responded to all our questions and made us feel very welcomed in her home.  Carrie has a beautiful little home in an awesome area!  Would definitely recommend to friends!"
11987076,81910747,2016-06-25,25805353,Cyrus R.,"Our stay with Carrie was short and sweet. Unfortunately we did not get a chance to meet her in person due to our late arrival and early departure, but she was communicative and made things very easy for us. We would stay here again. "
8371484,52298671,2015-10-27,5609245,Kris,"Private but awesome setting in the middle of arguably the best spot in Downtown. Most importantly, the bed was comfortable. "
8371484,52540883,2015-10-30,42313812,Ben,"Wonderful place to stay, close to a lot of nice restaurants and coffee bars. clean and spacious, super comfy bed. Definitely will try to stay here again when we come back to portland"
8371484,53384290,2015-11-08,4984170,Robert,"My new favorite AirBnB in Portland! It's a beautiful space in an amazing location. I was worried it might be noisy in that neighborhood, being that the first night of my stay was First Thursday. Parking was a challenge that night but other than that it was a wonderful evening. The apartment was quiet very comfortable each and every night.

I did see a notice in the elevator of a building meeting to discuss whether to allow short term rentals like AirBnB. I went out of my way to be polite to other tenants as I'd love to come back to this space!"
